"AIDS Report Number","Local Event Date","Event City","Event State","Event Airport","Event Type","Aircraft Damage","Flight Phase","Aircraft Make","Aircraft Model","Aircraft Series","Operator","Primary Flight Type","Flight Conduct Code","Flight Plan Filed Code","Aircraft Registration Nbr","Total Fatalities","Total Injuries","Aircraft Engine Make","Aircraft Engine Model","Engine Group Code","Nbr of Engines","PIC Certificate Type","PIC Flight Time Total Hrs","PIC Flight Time Total Make-Model"," "," "
"20080411832639I","11-APR-08","SAN FRANCISCO","CA","SAN FRANCISCO INTL","INCIDENT","MINOR","NORMAL CRUISE","EMBRAER","EMB-120 BRASILIA","ER","SKYWEST AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","236SW","0","0","PWA","PW118B","PW118","2","","0","0","0",""
"20080412831719I","12-APR-08","SAINT AUGUSTINE","FL","NORTHEAST FLORIDA RGNL","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","PIPER","PA-28R","PA-28R-201","","INSTRUCTION","GENERAL OPERATING RULES","VISUAL FLIGHT RULES","9721C","0","0","","","","1","COMMERCIAL PILOT","0","0","0",""
"20080413831659I","13-APR-08","FORT CARSON","CO","BUTTS AAF (FORT CARSON)","INCIDENT","NONE","NORMAL CRUISE","CESSNA","CE-150","CE-150-G","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","2961S","0","0","","","","1","PRIVATE PILOT","0","0","0",""
"20080414832029I","14-APR-08","BUFFALO","NY","BUFFALO NIAGARA INTL","INCIDENT","NONE","NORMAL CRUISE","CANADAIR-BOMBARDIER","CHALLENGER","600","AIR WISCONSIN AIRLINES CORPORATION","AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK)","AIR TAXI/COMMUTER","UNKNOWN","407AW","0","0","","","","2","","0","0","0",""
"20080414833969I","14-APR-08","PHILADELPHIA","PA","PHILADELPHIA INTL","INCIDENT","MINOR","TO INITIAL CLIMB (1ST POWER REDUCTION)","CANADAIR-BOMBARDIER","CHALLENGER","600","AIR WISCONSIN AIRLINES CORPORATION","SUPPLEMENTAL OR COMMERCIAL OPERATOR","AIR CARRIER/COMMERCIAL","UNKNOWN","428AW","0","0","GE","CF343B1","CF34","2","","0","0","0",""
"20080414836389I","14-APR-08","LAKELAND","FL","LAKELAND LINDER RGNL","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","MOONEY","M-20","M-20-R","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","CFBOX","0","0","","","","1","","0","0","0",""
"20080414847749I","14-APR-08","VALPARAISO","IN","PORTER COUNTY RGNL","INCIDENT","NONE","CLIMB","PIPER","PA-32","PA-32-R301T","","","GENERAL OPERATING RULES","UNKNOWN","4383M","0","0","LYC","TIO540S1AD","O540","1","","0","0","0",""
"20080414847779I","14-APR-08","","OH","LORAIN COUNTY RGNL","INCIDENT","NONE","NORMAL CRUISE","FLIGHT DESIGN","CT","","","","GENERAL OPERATING RULES","UNKNOWN","462CT","0","0","","","","1","","0","0","0",""
"20080415831629I","15-APR-08","FORT LAUDERDALE","FL","FORT LAUDERDALE/HOLLYWOOD INTL","INCIDENT","NONE","FINAL APPROACH","CESSNA","CE-560","CE-560-560XL","CITATIONSHARES MANAGEMENT LLC","AIR TAXI (NON-SCHEDULED)","AIR TAXI/COMMUTER","UNKNOWN","521CS","0","0","","","","2","","0","0","0",""
"20080415831979I","15-APR-08","LOS ANGELES","CA","LOS ANGELES INTL","INCIDENT","NONE","CLIMB","DE HAVILLAND-BOMBARDIER","DASH 8","400","HORIZON AIR INDUSTRIES INC","SUPPLEMENTAL OR COMMERCIAL OPERATOR","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","405QX","0","0","","","","2","","0","0","0",""
"20080415832049I","15-APR-08","ROCHESTER","NY","GREATER ROCHESTER INTL","INCIDENT","NONE","CLIMB","MCDONNELL-DOUGLAS-BOEING","DC-9","51","NORTHWEST AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","UNKNOWN","600TR","0","0","","","","2","","0","0","0",""
"20080416832309I","16-APR-08","ONTARIO","CA","ONTARIO INTL","INCIDENT","NONE","TO INITIAL CLIMB (1ST POWER REDUCTION)","EMBRAER","ERJ-145","XR","EXPRESSJET AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","11192","0","0","","","","2","","0","0","0",""
"20080416832949I","16-APR-08","HILO","HI","","INCIDENT","NONE","NORMAL CRUISE","GIPPS","GA-8","","AROOSTOOK AVIATION INC","AIR TAXI (NON-SCHEDULED)","AIR TAXI/COMMUTER","UNKNOWN","7508M","0","0","LYC","IO540*","O540","1","","0","0","0",""
"20080417014229I","17-APR-08","SEATTLE","WA","SEATTLE-TACOMA INTL","INCIDENT","NONE","FINAL APPROACH","BOEING","737","400","ALASKA AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","703AS","0","1","","","","2","","0","0","0",""
"20080418835689I","18-APR-08","WATSONVILLE","CA","WATSONVILLE MUNI","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","BEECH","BE-36","BE-36-A36TC","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","3663K","0","0","CONT","TSIO520UB","O520","1","PRIVATE PILOT","0","0","0",""
"20080419835719I","19-APR-08","PALMDALE","CA","PALMDALE RGNL/USAF PLANT 42","INCIDENT","NONE","NORMAL CRUISE","CIRRUS","CIRRUS-SR","CIRRUS-SR-22","","INSTRUCTION","GENERAL OPERATING RULES","UNKNOWN","5419W","0","0","CONT","IO550N","O550","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","0","0","0",""
"20080420833149I","20-APR-08","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","NONE","CLIMB","MCDONNELL-DOUGLAS-BOEING","MD-80","88","DELTA AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","963DL","0","0","","","","2","","0","0","0",""
"20080421831609I","21-APR-08","RICHMOND","KY","MADISON","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","NAVION","NAVION","","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","4439K","0","0","","","","1","","0","0","0",""
"20080422847509I","22-APR-08","KOKOMO","IN","KOKOMO MUNI","INCIDENT","NONE","NORMAL CRUISE","CESSNA","CE-414","CE-414-A","","","GENERAL OPERATING RULES","UNKNOWN","119SK","0","0","","","","2","","0","0","0",""
"20080423836799I","23-APR-08","SAN DIEGO","CA","GILLESPIE FIELD","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","CESSNA","CE-177","","","INSTRUCTION","GENERAL OPERATING RULES","UNKNOWN","52156","0","0","","","","1","","0","0","0",""
"20080424832959I","24-APR-08","SIOUX CITY","IA","SIOUX GATEWAY/COL. BUD DAY FIELD","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","BUETHE","BARRACUDA","","","OTHER","GENERAL OPERATING RULES","UNKNOWN","686DJ","0","0","","","","1","COMMERCIAL PILOT","0","0","0",""
"20080426833389I","26-APR-08","WASILLA","AK","ANDERSON LAKE","INCIDENT","MINOR","GROUND TAXI, OTHER AIRPLANE","PIPER","PA-18","PA-18-160","","","GENERAL OPERATING RULES","UNKNOWN","6455S","0","0","","","","","PRIVATE PILOT","0","0","0",""
"20080427837919I","27-APR-08","GALT","CA","","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","SUPAC","L-CA","","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","34785","0","0","CONT","C8512F","C85","1","","0","0","0",""
"20080427847679I","27-APR-08","MOLINE","IL","QUAD CITY INTL","INCIDENT","MINOR","NORMAL CRUISE","CESSNA","CE-210","CE-210-P210N","","","GENERAL OPERATING RULES","UNKNOWN","3959P","0","0","CONT","TSIO520P","O520","1","","0","0","0",""
"20080429833799I","29-APR-08","FAIRBANKS","AK","FAIRBANKS INTL","INCIDENT","MINOR","STARTING ENGINES","CESSNA","CE-170","CE-170-B","","OTHER","GENERAL OPERATING RULES","NONE","4466B","0","0","LYC","O360*","O360","1","","0","0","0",""
"20080502832039I","02-MAY-08","","WA","","INCIDENT","NONE","DESCENT","DE HAVILLAND-BOMBARDIER","DASH 8","400","HORIZON AIR INDUSTRIES INC","SUPPLEMENTAL OR COMMERCIAL OPERATOR","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","427QX","0","0","","","","2","","0","0","0",""
"20080502835369I","02-MAY-08","MENA","AR","","INCIDENT","MINOR","GROUND TAXI, OTHER AIRPLANE","PIPER","PA-31","PA-31-T","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","511PJ","0","0","PWA","PT6*","PT6","2","COMMERCIAL PILOT","0","0","0",""
"20080502837459I","02-MAY-08","LANCASTER","SC","","INCIDENT","MINOR","CLIMB","NEW GLASAIR","GLASAIR II","RG2","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","342MJ","0","0","LYC","IO540K1J5","O540","1","","0","0","0",""
"20080504832249I","04-MAY-08","OMAHA","NE","EPPLEY AIRFIELD","INCIDENT","NONE","GROUND TAXI, OTHER AIRPLANE","LEARJET-BOMBARDIER","LEARJET 55","","ELITE AVIATION LLC","AIR TAXI (NON-SCHEDULED)","AIR TAXI/COMMUTER","UNKNOWN","905RL","0","0","GARRTT","TFE731*","TFE731","2","","0","0","0",""
"20080504851559I","04-MAY-08","JOHNSTOWN","PA","JOHN MURTHA JOHNSTOWN-CAMBRIA CO","INCIDENT","MINOR","LANDING","CESSNA","CE-206","CE-206-P206H","","","GENERAL OPERATING RULES","UNKNOWN","95LN","0","0","LYC","TIO540*","O540","1","PRIVATE PILOT","0","0","0",""
"20080505847649I","05-MAY-08","CHICAGO","IL","CHICAGO O'HARE INTL","INCIDENT","NONE","DESCENT","EMBRAER","ERJ-145","","AMERICAN EAGLE AIRLINES INC","","AIR CARRIER/COMMERCIAL","UNKNOWN","UNKNO","0","0","","","","2","","0","0","0",""
"20080506848359I","06-MAY-08","DETROIT","MI","DETROIT METROPOLITAN WAYNE COUNTY","INCIDENT","SUBSTANTIAL","TO INITIAL CLIMB (1ST POWER REDUCTION)","AIRBUS","A319","130","SPIRIT AIRLINES INC","","AIR CARRIER/COMMERCIAL","UNKNOWN","516NK","0","0","IAE","V2524A5","V2524","2","","0","0","0",""
"20080507833349I","07-MAY-08","NEWBURYPORT","MA","PLUM ISLAND","INCIDENT","MINOR","","","","","","","GENERAL OPERATING RULES","UNKNOWN","595SC","0","0","","","","","","0","0","0",""
"20080507836909I","07-MAY-08","WALLACE","NC","HENDERSON FIELD","INCIDENT","NONE","NORMAL CRUISE","RAND ROBINSON","KR2","S","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","808BS","0","0","","","","1","PRIVATE PILOT","0","0","0",""
"20080510847349I","10-MAY-08","MONEE","IL","BULT FIELD","INCIDENT","NONE","IN TRAFFIC PATTERN-CIRCLING","PIPER","PA-24","PA-24-250","","","GENERAL OPERATING RULES","UNKNOWN","7626P","0","0","","","O540*","1","","0","0","0",""
"20080510848229I","10-MAY-08","INDIANAPOLIS","IN","INDIANAPOLIS INTL","INCIDENT","MINOR","CLIMB","MCDONNELL-DOUGLAS-BOEING","MD-11","FREIGHTER","FEDERAL EXPRESS CORP","","AIR CARRIER/COMMERCIAL","UNKNOWN","592FE","0","0","GE","CF680","CF6","3","AIRLINE TRANSPORT","0","0","0",""
"20080511833629I","11-MAY-08","HOUSTON","TX","DAVID WAYNE HOOKS MEMORIAL","INCIDENT","MINOR","TAKEOFF GROUND ROLL","BEECH","BE-18","BE-18-3NM","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","6676","0","0","PWA","R985AN14B","R985","2","","0","0","0",""
"20080512836529I","12-MAY-08","DAGGETT","CA","","INCIDENT","MINOR","CLIMB","BOEING","757","200","NORTHWEST AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","514US","0","0","","","","2","AIRLINE TRANSPORT","0","0","0",""
"20080512837239I","12-MAY-08","WICHITA","KS","WICHITA MID-CONTINENT","INCIDENT","NONE","NORMAL CRUISE","CANADAIR-BOMBARDIER","CHALLENGER","600","SKYWEST AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","740SK","0","0","","","","2","","0","0","0",""
"20080513834969I","13-MAY-08","SAVANNAH","GA","SAVANNAH/HILTON HEAD INTL","INCIDENT","NONE","NORMAL CRUISE","CESSNA","CE-560","CE-560-560XL","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","568CS","0","0","","","","2","","0","0","0",""
"20080514834939I","14-MAY-08","ATLANTA","GA","DEKALB-PEACHTREE","INCIDENT","NONE","TO INITIAL CLIMB (1ST POWER REDUCTION)","LEARJET-BOMBARDIER","LEARJET 45","","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","451N","0","0","","","","2","","0","0","0",""
"20080515837759I","15-MAY-08","WASHINGTON","DC","WASHINGTON DULLES INTL","INCIDENT","NONE","TO INITIAL CLIMB (1ST POWER REDUCTION)","CANADAIR-BOMBARDIER","CHALLENGER","600","FREEDOM AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","602LR","0","0","","","","2","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","0","0","0",""
"20080516833729I","16-MAY-08","OMAHA","NE","EPPLEY AIRFIELD","INCIDENT","NONE","NORMAL CRUISE","AIRBUS","A300","","UNITED PARCEL SERVICE CO","ALL CARGO CARRIERS","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","128UP","0","0","PWA","PW4158","4158","2","","0","0","0",""
"20080517835079I","17-MAY-08","MIAMI","FL","MIAMI INTL","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","AIRBUS","A320","210","BRENDAN AIRWAYS LLC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","265AV","0","0","GE","CFM56*","CFM56","2","AIRLINE TRANSPORT","0","664","79",""
"20080517838399I","17-MAY-08","CHICO","CA","","INCIDENT","NONE","FINAL APPROACH","QUICKSILVER","MXL","","","PERSONAL","ULTRALIGHT VEHICLES","UNKNOWN","NONE","0","0","ROTAX","ROTAX447","447","0","","0","0","0",""
"20080520837619I","20-MAY-08","PORTLAND","OR","PORTLAND INTL","INCIDENT","NONE","TO INITIAL CLIMB (1ST POWER REDUCTION)","DE HAVILLAND-BOMBARDIER","DASH 8","400","HORIZON AIR INDUSTRIES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","425QX","0","0","","","","2","","0","0","0",""
"20080521838249I","21-MAY-08","SANTA MARIA","CA","SANTA MARIA PUB/CAPT G ALLAN HANCOCK FLD","INCIDENT","NONE","NORMAL CRUISE","PIPER","PA-28","PA-28-161","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","8175H","0","0","LYC","O320*","O320","1","","0","0","0",""
"20080522835049I","22-MAY-08","MIAMI","FL","MIAMI INTL","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","MCDONNELL-DOUGLAS-BOEING","MD-11","FREIGHTER","ALITALIA LINEE AEREE ITALIANE SPA","ALL CARGO CARRIERS","FOREIGN AIR CARRIER","INSTRUMENT FLIGHT RULES","EIUPO","0","0","GE","CF680","CF6","3","","0","0","0",""
"20080523833829I","23-MAY-08","OMAHA","NE","EPPLEY AIRFIELD","INCIDENT","NONE","NORMAL CRUISE","CANADAIR-BOMBARDIER","CHALLENGER","600","ATLANTIC SOUTHEAST AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","760EV","0","0","","","","2","","0","0","0",""
"20080523834639I","23-MAY-08","GREENSBORO","NC","PIEDMONT TRIAD INTL","INCIDENT","SUBSTANTIAL","ENGINE RUN-UP","CESSNA","CE-560","CE-560-560XL","CESSNA AIRCRAFT CO","OTHER","GENERAL OPERATING RULES","UNKNOWN","542CS","0","0","PWA","PW545A","545","2","","0","0","0",""
"20080523836619I","23-MAY-08","NEW ORLEANS","LA","LOUIS ARMSTRONG NEW ORLEANS INTL","INCIDENT","MINOR","TO INITIAL CLIMB (1ST POWER REDUCTION)","GULSTM","GA-680","","","EXECUTIVE","GENERAL OPERATING RULES","UNKNOWN","865EC","0","0","PWC","PW306C","PW306","2","","0","0","0",""
"20080523845329I","23-MAY-08","FORT LAUDERDALE","FL","FORT LAUDERDALE EXECUTIVE","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","ROCKWELL","SABRELINER","","","","GENERAL OPERATING RULES","UNKNOWN","73TJ","0","0","","","","2","COMMERCIAL PILOT","0","0","0",""
"20080524840111I","24-MAY-08","ARLINGTON","WA","ARLINGTON MUNI","INCIDENT","NONE","TO INITIAL CLIMB (1ST POWER REDUCTION)","PIPER","PA-18","PA-18-A","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","7474D","0","0","","","","1","","0","0","0",""
"20080524840132I","24-MAY-08","ARLINGTON","WA","ARLINGTON MUNI","INCIDENT","NONE","TO INITIAL CLIMB (1ST POWER REDUCTION)","ROLSCH","LS-1","LS-1-C","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","771H","0","0","","","","0","","0","0","0",""
"20080524840143I","24-MAY-08","ARLINGTON","WA","ARLINGTON MUNI","INCIDENT","NONE","AERIAL TAXI TO TAKEOFF/ROTORCRAFT","ROBSIN","R-22","R-22-BETA","","INSTRUCTION","GENERAL OPERATING RULES","UNKNOWN","7526P","0","0","","","","1","","0","0","0",""
"20080525836519I","25-MAY-08","GRAFORD","TX","","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","CESSNA","CE-310","CE-310-R","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","5127J","0","0","","","","2","PRIVATE PILOT","0","0","0",""
"20080526834329I","26-MAY-08","ELOY","AZ","","INCIDENT","NONE","PARACHUTE JUMPING","","","","","OTHER","PARACHUTE JUMPING","UNKNOWN","NONE","0","0","","","","","","0","0","0",""
"20080526837189I","26-MAY-08","EVERETT","WA","SNOHOMISH COUNTY (PAINE FLD)","INCIDENT","NONE","TAKEOFF GROUND ROLL","SWEARINGEN-FAIRCHILD","SA-226","SA-226-T","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","154L","0","0","","","","2","","0","0","0",""
"20080529834149I","29-MAY-08","OMAHA","NE","EPPLEY AIRFIELD","INCIDENT","NONE","NORMAL CRUISE","BOEING","767","300","UNITED PARCEL SERVICE CO","ALL CARGO CARRIERS","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","311UP","0","0","","","","2","","0","0","0",""
"20080529835239I","29-MAY-08","NEW BRAUNFELS","TX","NEW BRAUNFELS MUNI","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","PIPER","PA-34","PA-34-200T","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","98HD","0","0","","","","2","","0","0","0",""
"20080530836579I","30-MAY-08","SAINT LOUIS","MO","LAMBERT-ST LOUIS INTL","INCIDENT","SUBSTANTIAL","ROLL-OUT (FIXED WING)","BOEING","737","300","SOUTHWEST AIRLINES CO","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","685SW","0","0","","","","2","AIRLINE TRANSPORT","0","0","0",""
"20080530837209I","30-MAY-08","HILLSBORO","TX","HILLSBORO MUNI","INCIDENT","MINOR","GROUND TAXI, OTHER AIRPLANE","SKYSTAR","KITFOX","","","OTHER","GENERAL OPERATING RULES","NONE","962TC","0","0","ROTAX","ROTAX912","912","","","0","0","0",""
"20080531835319I","31-MAY-08","PITTSBURGH","PA","PITTSBURGH INTL","INCIDENT","NONE","NORMAL CRUISE","CANADAIR-BOMBARDIER","CHALLENGER","600","SKYWEST AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","479CA","0","0","","","","2","","0","0","0",""
"20080531847429I","31-MAY-08","CLEVELAND","OH","CLEVELAND-HOPKINS INTL","INCIDENT","NONE","CLIMB","BOEING","737","800","CONTINENTAL AIRLINES INC","","AIR CARRIER/COMMERCIAL","UNKNOWN","35360","0","0","","","","2","","0","0","0",""
"20080531857509I","31-MAY-08","WASILLA","AK","WOLF TRACK","INCIDENT","MINOR","UNKNOWN","PIPER","PA-11","","","","GENERAL OPERATING RULES","","897CC","0","0","CONT M","O-200A","","","PRIVATE PILOT","0","0","0",""
"20080601837849I","01-JUN-08","RICHMOND","VA","RICHMOND INTL","INCIDENT","MINOR","GROUND TAXI, OTHER AIRPLANE","CESSNA","CE-401","CE-401-B","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","7991Q","0","0","","","","2","","0","0","0",""
"20080604836429I","04-JUN-08","SEATTLE","WA","BOEING FIELD/KING COUNTY INTL","INCIDENT","MINOR","GROUND TAXI, OTHER AIRPLANE","CESSNA","CE-180","","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","1578C","0","0","","","","1","COMMERCIAL PILOT","0","0","0",""
"20080604838519I","04-JUN-08","MEXICO","MO","","INCIDENT","MINOR","LOW LEVEL OPERATIONS","CESSNA","CE-188","CE-188-B","WOOD, JAMES F","AERIAL APPLICATOR","AGRICULTURAL","UNKNOWN","90834","0","0","CONT","IO520D","O520","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","0","0","0",""
"20080604852219I","04-JUN-08","LEXINGTON","TX","","INCIDENT","NONE","OTHER-SPECIFY","","","","AUSTIN SKYDIVING CENTER INC","","PARACHUTE JUMPING","","NONE","0","0","","","","","","0","0","0",""
"20080605839709I","05-JUN-08","MEXICO","MO","","INCIDENT","NONE","LOW LEVEL OPERATIONS","CESSNA","CE-188","CE-188-A","KILLAM, RODNEY A","AERIAL APPLICATOR","GENERAL OPERATING RULES","UNKNOWN","9932G","0","0","CONT","IO520*","O520","1","COMMERCIAL PILOT","0","0","0",""
"20080606841289I","06-JUN-08","NOME","AK","NOME","INCIDENT","MINOR","CLIMB","RAYTHEON","1900","C-1","FRONTIER FLYING SERVICE INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","575Z","0","0","","","","2","","0","0","0",""
"20080607834169I","07-JUN-08","OMAHA","NE","EPPLEY AIRFIELD","INCIDENT","NONE","NORMAL CRUISE","CANADAIR-BOMBARDIER","CHALLENGER","600","PINNACLE AIRLINES INC","SUPPLEMENTAL OR COMMERCIAL OPERATOR","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","8694A","0","0","","","","2","","0","0","0",""
"20080607842279I","07-JUN-08","SAN DIEGO","CA","MC CLELLAN-PALOMAR","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","VANS","RV-9","RV-9-A","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","557BD","0","0","","","","1","","0","0","0",""
"20080607843159I","07-JUN-08","DUANESBURG","NY","DUANESBURG","INCIDENT","NONE","PARACHUTE JUMPING","CESSNA","CE-182","CE-182-F","","OTHER","GENERAL OPERATING RULES","UNKNOWN","3657U","1","0","","","","1","PRIVATE PILOT","0","0","0",""
"20080608848309I","08-JUN-08","MINNEAPOLIS","MN","MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN","INCIDENT","MINOR","GROUND TAXI, OTHER AIRPLANE","AIRBUS","A330","320","NORTHWEST AIRLINES INC","","AIR CARRIER/COMMERCIAL","UNKNOWN","819NW","0","0","PWA","PW4168A","4168","2","AIRLINE TRANSPORT","0","0","0",""
"20080610835199I","10-JUN-08","SPARTANBURG","SC","SPARTANBURG DOWNTOWN MEMORIAL","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","BLANCA","BL-7","BL-7-AC","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","82224","0","0","","","","1","","0","0","0",""
"20080611839959I","11-JUN-08","BOZEMAN","MT","BOZEMAN YELLOWSTONE INTL","INCIDENT","MINOR","NORMAL CRUISE","BEECH","BE-200","","","EXECUTIVE","","UNKNOWN","GYDQ","0","0","","","","2","","0","0","0",""
"20080611840389I","11-JUN-08","FRESNO","CA","FRESNO YOSEMITE INTL","INCIDENT","NONE","TO INITIAL CLIMB (1ST POWER REDUCTION)","CESSNA","CE-208","CE-208-B","WEST AIR INC","AIR TAXI (NON-SCHEDULED)","GENERAL OPERATING RULES","UNKNOWN","984FE","0","0","PWA","PT6A114","PT6","1","","0","0","0",""
"20080613834129I","13-JUN-08","NORFOLK","VA","CHESAPEAKE RGNL","INCIDENT","MINOR","TO INITIAL CLIMB (1ST POWER REDUCTION)","GLASAIR","GLASAIR-SH2","","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","264DD","0","0","","","","1","PRIVATE PILOT","0","0","0",""
"20080613839989I","13-JUN-08","LINCOLN","NE","LINCOLN","INCIDENT","NONE","","LEARJET-BOMBARDIER","LEARJET 25","D","","OTHER","GENERAL OPERATING RULES","UNKNOWN","280C","0","0","GE","CJ6108","CJ610","2","","0","0","0",""
"20080613840099I","13-JUN-08","ATLANTA","GA","DEKALB-PEACHTREE","INCIDENT","NONE","TAKEOFF GROUND ROLL","CESSNA","CE-560","CE-560-560XL","NETJETS AVIATION INC","AIR TAXI (NON-SCHEDULED)","AIR TAXI/COMMUTER","UNKNOWN","664QS","0","0","","","","2","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","0","0","0",""
"20080614834179I","14-JUN-08","OMAHA","NE","EPPLEY AIRFIELD","INCIDENT","NONE","NORMAL CRUISE","CESSNA","CITATION X (C750)","","NETJETS AVIATION INC","AIR TAXI (NON-SCHEDULED)","AIR TAXI/COMMUTER","UNKNOWN","913QS","0","0","ALLSN","AE3007C","AE3007","2","","0","0","0",""
"20080614839669I","14-JUN-08","PITTSBURGH","PA","PITTSBURGH INTL","INCIDENT","NONE","NORMAL CRUISE","EMBRAER","170","SU","REPUBLIC AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","819MD","0","0","GE","CF34*","CF34","2","","0","0","0",""
"20080614849619I","14-JUN-08","MANILA","","MANILA MUNI","INCIDENT","MINOR","CLIMB","BOEING","747","400","NORTHWEST AIRLINES INC","","AIR CARRIER/COMMERCIAL","UNKNOWN","669US","0","0","","","","4","","0","0","0",""
"20080614855729I","14-JUN-08","LUMBERTON","NJ","FLYING W","INCIDENT","SUBSTANTIAL","TAXI","CHRISTEN","EAGLE II","","","","GENERAL OPERATING RULES","UNKNOWN","6GK","0","0","","","","1","PRIVATE PILOT","0","0","0",""
"20080616833949I","16-JUN-08","BAKERSFIELD","CA","MEADOWS FIELD","INCIDENT","NONE","DESCENT","EMBRAER","EMB-120 BRASILIA","ER","SKYWEST AIRLINES INC","SUPPLEMENTAL OR COMMERCIAL OPERATOR","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","290SW","0","0","PWA","PW118B","PW118","2","","0","0","0",""
"20080617842159I","17-JUN-08","POWELL","WY","POWELL MUNI","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","ACRODUSTER","ACRODUSTER","II","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","CGFJA","0","0","","","","1","COMMERCIAL PILOT","0","0","0",""
